destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
NoUrgentPlace,Friend(s),Sunny,55,2PM,Carryout&Takeaway,1d,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,1,0,0,1,1
NoUrgentPlace,Alone,Sunny,55,10AM,CoffeeHouse,2h,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,0,0,0,1,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,CoffeeHouse,2h,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,CoffeeHouse,2h,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,1,1,0,1,0
Work,Alone,Sunny,55,7AM,Bar,1d,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,1,0,0,1,0
Work,Alone,Sunny,80,7AM,Carryout&Takeaway,2h,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,CoffeeHouse,2h,Male,21,Single,0,Bachelorsdegree,Architecture&Engineering,$62500-$74999,?,never,less1,4~8,4~8,less1,1,1,0,0,1,0
NoUrgentPlace,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,10AM,CoffeeHouse,2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,10AM,Bar,1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,0,1,0
NoUrgentPlace,Friend(s),Sunny,80,10AM,Carryout&Takeaway,2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,0,0,1,0
NoUrgentPlace,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,6PM,CoffeeHouse,2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,0,1,0
NoUrgentPlace,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,55,2PM,CoffeeHouse,2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,55,2PM,Carryout&Takeaway,1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,0,0,1,1
NoUrgentPlace,Alone,Sunny,55,10AM,CoffeeHouse,2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,0,1,1
Home,Alone,Sunny,55,6PM,Bar,1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,1,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,CoffeeHouse,2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,CoffeeHouse,2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,1,0,1,0
Work,Alone,Sunny,55,7AM,Bar,1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,1,0,1,0
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,0,0,1,0
Work,Alone,Sunny,80,7AM,Carryout&Takeaway,2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,CoffeeHouse,2h,Male,46,Single,0,Somecollege-nodegree,Student,$12500-$24999,?,never,4~8,1~3,1~3,never,1,1,0,0,1,0
NoUrgentPlace,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,10AM,CoffeeHouse,2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,10AM,Carryout&Takeaway,2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,55,2PM,Carryout&Takeaway,1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Kid(s),Sunny,80,10AM,Carryout&Takeaway,2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Kid(s),Sunny,80,10AM,Bar,1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1
NoUrgentPlace,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Kid(s),Sunny,55,6PM,CoffeeHouse,2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,CoffeeHouse,2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,CoffeeHouse,2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,1,0,1,0
Work,Alone,Sunny,55,7AM,Bar,1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
Work,Alone,Sunny,80,7AM,Carryout&Takeaway,2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,0,0,1,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,CoffeeHouse,2h,Male,46,Marriedpartner,1,Bachelorsdegree,Education&Training&Library,$75000-$87499,?,less1,1~3,1~3,1~3,less1,1,1,0,0,1,0
NoUrgentPlace,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,0,1,0
NoUrgentPlace,Friend(s),Sunny,80,10AM,CoffeeHouse,2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,10AM,Bar,1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,10AM,Carryout&Takeaway,2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,6PM,CoffeeHouse,2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,55,2PM,CoffeeHouse,2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,55,2PM,Carryout&Takeaway,1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
NoUrgentPlace,Alone,Sunny,55,10AM,CoffeeHouse,2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
Home,Alone,Sunny,55,6PM,Bar,1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
Home,Alone,Sunny,80,6PM,CoffeeHouse,2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,CoffeeHouse,2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,1,0,1,1
Work,Alone,Sunny,55,7AM,Bar,1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,1,0,1,0
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
Work,Alone,Sunny,80,7AM,Carryout&Takeaway,2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,CoffeeHouse,2h,Male,21,Single,0,Associatesdegree,Student,$12500-$24999,?,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
NoUrgentPlace,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,10AM,CoffeeHouse,2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,10AM,Bar,1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,10AM,Carryout&Takeaway,2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0
NoUrgentPlace,Friend(s),Sunny,80,2PM,CoffeeHouse,1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Friend(s),Sunny,80,6PM,CoffeeHouse,2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0
NoUrgentPlace,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0
NoUrgentPlace,Friend(s),Sunny,55,2PM,CoffeeHouse,2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0
NoUrgentPlace,Friend(s),Sunny,55,2PM,Carryout&Takeaway,1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Alone,Sunny,55,10AM,CoffeeHouse,2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,CoffeeHouse,2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,CoffeeHouse,2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,1,0,1,1
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0
Work,Alone,Sunny,80,7AM,Carryout&Takeaway,2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,CoffeeHouse,2h,Male,26,Unmarriedpartner,0,Bachelorsdegree,Student,$50000-$62499,?,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1
NoUrgentPlace,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,26,Marriedpartner,1,Somecollege-nodegree,Unemployed,$62500-$74999,?,never,less1,gt8,4~8,never,1,0,0,0,1,1
