@relation in-vehicle-coupon-recom_final_InfoGainAttributeEval

@attribute destination {Home,NoUrgentPlace,Work}
@attribute passanger {Alone,Friend(s),Kid(s),Partner}
@attribute time {10AM,10PM,2PM,6PM,7AM}
@attribute coupon {Bar,Carryout&Takeaway,CoffeeHouse,Restaurant(20-50),Restaurant(<20)}
@attribute expiration {long,short}
@attribute coffeehouse {1~3,4~8,gt8,less1,never}
@attribute y {0,1}

@data
Work,Alone,7AM,CoffeeHouse,short,1~3,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,less1,0
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),10AM,Bar,long,less1,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,less1,1
NoUrgentPlace,Friend(s),2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Friend(s),6PM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,less1,1
NoUrgentPlace,Alone,10AM,CoffeeHouse,short,less1,1
Home,Alone,6PM,Bar,long,less1,1
Home,Alone,6PM,Restaurant(20-50),long,less1,1
Home,Alone,6PM,CoffeeHouse,short,less1,1
Work,Alone,7AM,CoffeeHouse,short,less1,1
Work,Alone,7AM,Bar,long,less1,0
Work,Alone,7AM,Restaurant(20-50),long,less1,1
Work,Alone,7AM,Carryout&Takeaway,short,less1,1
Work,Alone,7AM,Restaurant(<20),long,less1,1
Work,Alone,7AM,CoffeeHouse,short,less1,1
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,gt8,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,gt8,1
NoUrgentPlace,Friend(s),10AM,Bar,long,gt8,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,gt8,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,gt8,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,gt8,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,gt8,1
NoUrgentPlace,Friend(s),2PM,Restaurant(<20),long,gt8,1
NoUrgentPlace,Friend(s),6PM,CoffeeHouse,short,gt8,0
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,gt8,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,gt8,0
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,gt8,1
NoUrgentPlace,Alone,10AM,CoffeeHouse,short,gt8,0
Home,Alone,6PM,Bar,long,gt8,1
Home,Alone,6PM,Restaurant(20-50),long,gt8,0
Home,Alone,6PM,CoffeeHouse,short,gt8,0
Work,Alone,7AM,CoffeeHouse,short,gt8,1
Work,Alone,7AM,Bar,long,gt8,1
Work,Alone,7AM,Restaurant(20-50),long,gt8,0
Work,Alone,7AM,Carryout&Takeaway,short,gt8,1
Work,Alone,7AM,Restaurant(<20),long,gt8,1
Work,Alone,7AM,CoffeeHouse,short,gt8,1
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,less1,1
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,less1,1
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,less1,1
NoUrgentPlace,Kid(s),10AM,Restaurant(<20),short,less1,1
NoUrgentPlace,Kid(s),10AM,Carryout&Takeaway,short,less1,1
NoUrgentPlace,Kid(s),10AM,Bar,long,less1,0
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Kid(s),6PM,CoffeeHouse,short,less1,0
Home,Alone,6PM,Bar,long,less1,0
Home,Alone,6PM,Restaurant(20-50),long,less1,0
Home,Alone,6PM,CoffeeHouse,short,less1,0
Work,Alone,7AM,CoffeeHouse,short,less1,0
Work,Alone,7AM,Bar,long,less1,0
Work,Alone,7AM,Restaurant(20-50),long,less1,0
Work,Alone,7AM,Carryout&Takeaway,short,less1,0
Work,Alone,7AM,Restaurant(<20),long,less1,1
Work,Alone,7AM,CoffeeHouse,short,less1,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,gt8,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,gt8,0
NoUrgentPlace,Friend(s),10AM,Bar,long,gt8,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,gt8,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,gt8,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,gt8,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,gt8,1
NoUrgentPlace,Friend(s),2PM,Restaurant(<20),long,gt8,1
NoUrgentPlace,Friend(s),6PM,CoffeeHouse,short,gt8,0
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,gt8,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,gt8,0
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,gt8,1
NoUrgentPlace,Alone,10AM,CoffeeHouse,short,gt8,0
Home,Alone,6PM,Bar,long,gt8,1
Home,Alone,6PM,Restaurant(20-50),long,gt8,1
Home,Alone,6PM,CoffeeHouse,short,gt8,0
Work,Alone,7AM,CoffeeHouse,short,gt8,0
Work,Alone,7AM,Bar,long,gt8,1
Work,Alone,7AM,Restaurant(20-50),long,gt8,1
Work,Alone,7AM,Carryout&Takeaway,short,gt8,0
Work,Alone,7AM,Restaurant(<20),long,gt8,1
Work,Alone,7AM,CoffeeHouse,short,gt8,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,1~3,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Friend(s),10AM,Bar,long,1~3,0
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,1~3,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,1~3,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,1~3,1
NoUrgentPlace,Friend(s),2PM,Restaurant(<20),long,1~3,1
NoUrgentPlace,Friend(s),6PM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,1~3,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,1~3,1
Home,Alone,6PM,CoffeeHouse,short,1~3,1
Work,Alone,7AM,Bar,long,1~3,1
Work,Alone,7AM,Restaurant(20-50),long,1~3,1
Work,Alone,7AM,Carryout&Takeaway,short,1~3,1
Work,Alone,7AM,Restaurant(<20),long,1~3,1
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,never,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,never,0
NoUrgentPlace,Friend(s),10AM,Bar,long,never,0
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,never,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,never,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,never,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,never,0
NoUrgentPlace,Friend(s),2PM,Restaurant(<20),long,never,1
NoUrgentPlace,Friend(s),6PM,CoffeeHouse,short,never,0
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,never,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,never,0
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,never,1
NoUrgentPlace,Alone,10AM,CoffeeHouse,short,never,0
Home,Alone,6PM,Bar,long,never,1
Home,Alone,6PM,Restaurant(20-50),long,never,0
Home,Alone,6PM,CoffeeHouse,short,never,0
Work,Alone,7AM,CoffeeHouse,short,never,0
Work,Alone,7AM,Bar,long,never,0
Work,Alone,7AM,Restaurant(20-50),long,never,1
Work,Alone,7AM,Carryout&Takeaway,short,never,1
Work,Alone,7AM,Restaurant(<20),long,never,1
Work,Alone,7AM,CoffeeHouse,short,never,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,1~3,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,1~3,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,1~3,1
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,1~3,1
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,1~3,1
NoUrgentPlace,Partner,10AM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Partner,10AM,Restaurant(20-50),long,1~3,1
NoUrgentPlace,Partner,10AM,Bar,short,1~3,0
NoUrgentPlace,Partner,10AM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Partner,6PM,Restaurant(<20),short,1~3,1
NoUrgentPlace,Partner,6PM,Bar,long,1~3,1
Home,Alone,6PM,Bar,long,1~3,1
Home,Alone,6PM,Restaurant(20-50),long,1~3,1
Home,Alone,6PM,CoffeeHouse,short,1~3,0
Work,Alone,7AM,CoffeeHouse,short,1~3,1
Work,Alone,7AM,Bar,long,1~3,1
Work,Alone,7AM,Restaurant(20-50),long,1~3,0
Work,Alone,7AM,Carryout&Takeaway,short,1~3,0
Work,Alone,7AM,Restaurant(<20),long,1~3,0
Work,Alone,7AM,CoffeeHouse,short,1~3,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,never,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,never,1
NoUrgentPlace,Friend(s),10AM,Bar,long,never,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,never,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,never,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,never,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,never,1
NoUrgentPlace,Friend(s),2PM,Restaurant(<20),long,never,1
NoUrgentPlace,Friend(s),6PM,CoffeeHouse,short,never,0
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,never,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,never,0
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,never,1
NoUrgentPlace,Alone,10AM,CoffeeHouse,short,never,1
Home,Alone,6PM,Bar,long,never,1
Home,Alone,6PM,Restaurant(20-50),long,never,0
Home,Alone,6PM,CoffeeHouse,short,never,0
Work,Alone,7AM,CoffeeHouse,short,never,1
Work,Alone,7AM,Bar,long,never,0
Work,Alone,7AM,Restaurant(20-50),long,never,1
Work,Alone,7AM,Carryout&Takeaway,short,never,1
Work,Alone,7AM,Restaurant(<20),long,never,0
Work,Alone,7AM,CoffeeHouse,short,never,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,less1,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,less1,0
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,less1,1
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,less1,1
NoUrgentPlace,Kid(s),10AM,Restaurant(<20),short,less1,1
NoUrgentPlace,Kid(s),10AM,Carryout&Takeaway,short,less1,0
NoUrgentPlace,Kid(s),10AM,Bar,long,less1,0
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Kid(s),6PM,CoffeeHouse,short,less1,0
Home,Alone,6PM,Bar,long,less1,1
Home,Alone,6PM,Restaurant(20-50),long,less1,1
Home,Alone,6PM,CoffeeHouse,short,less1,0
Work,Alone,7AM,CoffeeHouse,short,less1,1
Work,Alone,7AM,Bar,long,less1,0
Work,Alone,7AM,Restaurant(20-50),long,less1,1
Work,Alone,7AM,Carryout&Takeaway,short,less1,1
Work,Alone,7AM,Restaurant(<20),long,less1,1
Work,Alone,7AM,CoffeeHouse,short,less1,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,gt8,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,gt8,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,gt8,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,gt8,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,gt8,1
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,gt8,0
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,gt8,0
NoUrgentPlace,Kid(s),10AM,Restaurant(<20),short,gt8,0
NoUrgentPlace,Kid(s),10AM,Carryout&Takeaway,short,gt8,0
NoUrgentPlace,Kid(s),10AM,Bar,long,gt8,0
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,gt8,0
NoUrgentPlace,Kid(s),6PM,CoffeeHouse,short,gt8,1
Home,Alone,6PM,Bar,long,gt8,0
Home,Alone,6PM,CoffeeHouse,short,gt8,1
Work,Alone,7AM,CoffeeHouse,short,gt8,1
Work,Alone,7AM,Bar,long,gt8,0
Work,Alone,7AM,Restaurant(20-50),long,gt8,0
Work,Alone,7AM,Carryout&Takeaway,short,gt8,0
Work,Alone,7AM,Restaurant(<20),long,gt8,0
Work,Alone,7AM,CoffeeHouse,short,gt8,1
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,1~3,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,1~3,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,1~3,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,1~3,0
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,1~3,1
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,1~3,0
NoUrgentPlace,Kid(s),10AM,Restaurant(<20),short,1~3,0
NoUrgentPlace,Kid(s),10AM,Carryout&Takeaway,short,1~3,0
NoUrgentPlace,Kid(s),10AM,Bar,long,1~3,0
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,1~3,1
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,1~3,1
NoUrgentPlace,Kid(s),6PM,CoffeeHouse,short,1~3,0
Home,Alone,6PM,Bar,long,1~3,0
Home,Alone,6PM,Restaurant(20-50),long,1~3,0
Home,Alone,6PM,CoffeeHouse,short,1~3,0
Work,Alone,7AM,CoffeeHouse,short,1~3,0
Work,Alone,7AM,Bar,long,1~3,0
Work,Alone,7AM,Restaurant(20-50),long,1~3,1
Work,Alone,7AM,Carryout&Takeaway,short,1~3,0
Work,Alone,7AM,Restaurant(<20),long,1~3,1
Work,Alone,7AM,CoffeeHouse,short,1~3,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,less1,1
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,less1,1
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,less1,1
NoUrgentPlace,Partner,10AM,CoffeeHouse,short,less1,1
NoUrgentPlace,Partner,10AM,Restaurant(20-50),long,less1,1
NoUrgentPlace,Partner,10AM,Bar,short,less1,0
NoUrgentPlace,Partner,10AM,CoffeeHouse,short,less1,1
Home,Alone,6PM,Bar,long,less1,1
Home,Alone,6PM,Restaurant(20-50),long,less1,1
Home,Alone,6PM,CoffeeHouse,short,less1,0
Work,Alone,7AM,CoffeeHouse,short,less1,0
Work,Alone,7AM,Bar,long,less1,1
Work,Alone,7AM,Restaurant(20-50),long,less1,0
Work,Alone,7AM,Carryout&Takeaway,short,less1,1
Work,Alone,7AM,Restaurant(<20),long,less1,1
Work,Alone,7AM,CoffeeHouse,short,less1,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,1~3,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,1~3,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,1~3,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,1~3,1
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,1~3,1
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,1~3,1
NoUrgentPlace,Kid(s),10AM,Restaurant(<20),short,1~3,0
NoUrgentPlace,Kid(s),10AM,Carryout&Takeaway,short,1~3,1
NoUrgentPlace,Kid(s),10AM,Bar,long,1~3,0
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,1~3,0
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,1~3,0
NoUrgentPlace,Kid(s),6PM,CoffeeHouse,short,1~3,0
Home,Alone,6PM,Bar,long,1~3,1
Home,Alone,6PM,Restaurant(20-50),long,1~3,1
Home,Alone,6PM,CoffeeHouse,short,1~3,0
Work,Alone,7AM,CoffeeHouse,short,1~3,0
Work,Alone,7AM,Bar,long,1~3,0
Work,Alone,7AM,Restaurant(20-50),long,1~3,0
Work,Alone,7AM,Carryout&Takeaway,short,1~3,1
Work,Alone,7AM,Restaurant(<20),long,1~3,0
Work,Alone,7AM,CoffeeHouse,short,1~3,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,less1,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,less1,0
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,less1,1
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,less1,1
NoUrgentPlace,Kid(s),10AM,Restaurant(<20),short,less1,0
NoUrgentPlace,Kid(s),10AM,Carryout&Takeaway,short,less1,1
NoUrgentPlace,Kid(s),10AM,Bar,long,less1,0
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Kid(s),2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Kid(s),6PM,CoffeeHouse,short,less1,0
Home,Alone,6PM,Bar,long,less1,0
Home,Alone,6PM,Restaurant(20-50),long,less1,0
Home,Alone,6PM,CoffeeHouse,short,less1,0
Work,Alone,7AM,CoffeeHouse,short,less1,1
Work,Alone,7AM,Bar,long,less1,0
Work,Alone,7AM,Restaurant(20-50),long,less1,0
Work,Alone,7AM,Carryout&Takeaway,short,less1,1
Work,Alone,7AM,Restaurant(<20),long,less1,1
Work,Alone,7AM,CoffeeHouse,short,less1,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,never,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,never,0
NoUrgentPlace,Friend(s),10AM,Bar,long,never,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,never,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,never,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,never,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,never,0
NoUrgentPlace,Friend(s),2PM,Restaurant(<20),long,never,1
NoUrgentPlace,Friend(s),6PM,CoffeeHouse,short,never,0
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,never,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,never,0
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,never,1
NoUrgentPlace,Alone,10AM,CoffeeHouse,short,never,0
Home,Alone,6PM,Bar,long,never,1
Home,Alone,6PM,Restaurant(20-50),long,never,0
Home,Alone,6PM,CoffeeHouse,short,never,0
Work,Alone,7AM,CoffeeHouse,short,never,0
Work,Alone,7AM,Bar,long,never,1
Work,Alone,7AM,Restaurant(20-50),long,never,1
Work,Alone,7AM,Carryout&Takeaway,short,never,0
Work,Alone,7AM,Restaurant(<20),long,never,1
Work,Alone,7AM,CoffeeHouse,short,never,0
NoUrgentPlace,Alone,2PM,Restaurant(<20),long,less1,1
NoUrgentPlace,Friend(s),10AM,CoffeeHouse,short,less1,1
NoUrgentPlace,Friend(s),10AM,Carryout&Takeaway,short,less1,1
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,short,less1,0
NoUrgentPlace,Friend(s),2PM,CoffeeHouse,long,less1,0
NoUrgentPlace,Friend(s),6PM,Restaurant(<20),short,less1,1
NoUrgentPlace,Friend(s),2PM,Carryout&Takeaway,long,less1,1
NoUrgentPlace,Partner,10AM,CoffeeHouse,short,less1,1
NoUrgentPlace,Partner,10AM,Restaurant(20-50),long,less1,1
NoUrgentPlace,Partner,10AM,Bar,short,less1,0
NoUrgentPlace,Partner,10AM,CoffeeHouse,short,less1,1
